route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
IDFM:C01378,IDFM:108219,IDFM:RATP:112671-C01378-COU_RATP_4831051_795505_264,Créteil-Pointe du Lac,,1,,,2,0
IDFM:C01378,IDFM:108219,IDFM:RATP:112671-C01378-COU_RATP_4831051_795505_269,Créteil-Pointe du Lac,,1,,,2,0
IDFM:C01375,IDFM:108219,IDFM:RATP:124363-C01375-COU_RATP_5084015_3120421_85,Place d'Italie,,1,,,2,0
IDFM:C01375,IDFM:108219,IDFM:RATP:124363-C01375-COU_RATP_5084015_3120421_282,Place d'Italie,,1,,,2,0
IDFM:C01375,IDFM:108219,IDFM:RATP:124363-C01375-COU_RATP_5084015_3120421_258,Place d'Italie,,1,,,2,0
IDFM:C01375,IDFM:108219,IDFM:RATP:124363-C01375-COU_RATP_5084015_3120421_234,Place d'Italie,,1,,,2,0
IDFM:C01373,IDFM:108219,IDFM:RATP:124987-C01373-COU_RATP_5083967_912354_179,Gallieni (Parc de Bagnolet),,0,,,2,0
IDFM:C01383,IDFM:108219,IDFM:RATP:125756-C01383-COU_RATP_5083943_2467829_194,Châtillon Montrouge,,0,,,2,0
IDFM:C01375,IDFM:108219,IDFM:RATP:123846-C01375-COU_RATP_5084012_3120415_273,Place d'Italie,,1,,,2,0
IDFM:C01373,IDFM:108219,IDFM:RATP:124987-C01373-COU_RATP_5083967_912354_163,Gallieni (Parc de Bagnolet),,0,,,2,0
IDFM:C01373,IDFM:108219,IDFM:RATP:124987-C01373-COU_RATP_5083967_912354_178,Gallieni (Parc de Bagnolet),,0,,,2,0
IDFM:C01373,IDFM:108219,IDFM:RATP:124987-C01373-COU_RATP_5083967_912354_176,Gallieni (Parc de Bagnolet),,0,,,2,0
IDFM:C01375,IDFM:108219,IDFM:RATP:122971-C01375-COU_RATP_5084012_3120416_176,Bobigny-Pablo-Picasso,,0,,,2,0
IDFM:C01375,IDFM:108219,IDFM:RATP:122971-C01375-COU_RATP_5084012_3120416_193,Bobigny-Pablo-Picasso,,0,,,2,0
IDFM:C01373,IDFM:108219,IDFM:RATP:124987-C01373-COU_RATP_5083967_912354_175,Gallieni (Parc de Bagnolet),,0,,,2,0
IDFM:C01373,IDFM:108219,IDFM:RATP:124987-C01373-COU_RATP_5083967_912354_174,Gallieni (Parc de Bagnolet),,0,,,2,0
IDFM:C01375,IDFM:108219,IDFM:RATP:122971-C01375-COU_RATP_5084012_3120416_216,Bobigny-Pablo-Picasso,,0,,,2,0
IDFM:C01373,IDFM:108219,IDFM:RATP:124987-C01373-COU_RATP_5083967_912354_173,Gallieni (Parc de Bagnolet),,0,,,2,0
IDFM:C01375,IDFM:108219,IDFM:RATP:122971-C01375-COU_RATP_5084012_3120416_232,Bobigny-Pablo-Picasso,,0,,,2,0
